Name,Address,Culture,Religion,Language,Services,Postcode,State,Phone,Email,Website,Longitude,Latitude,ID
Healthwest,60-64 ORR Street QUEENSTOWN 7467 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Catholic, Uniting Church","Arabic, Cantonese, Croatian, Greek, Italian, Mandarin, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7467,TAS,6.10365E+11,lindy.earlcooper@ths.tas.gov.au,NA,145.5584562,-42.0811905,1
Emmerton Park,2-12 SENIOR Drive SMITHTON 7330 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, Wellness and reablement",7330,TAS,,NA,NA,145.127469,-40.847167,2
Circular Head Aboriginal Corporation,10 KING Street SMITHTON 7330 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7330,TAS,6.10365E+11,admin@chac.com.au,NA,145.1239721,-40.839392,3
Wynyard Care Centre,Quiggin Street WYNYARD 7325 TAS Australia,NA,NA,NA,"Continence Advisory, Dementia, In-home respite care, Mental Health, Mobility, People with terminal illness, Wellness and reablement",7325,TAS,6.10364E+11,wynyard@synovumcare.com.au,http://www.synovumcare.com.au,145.7326685,-40.9922967,4
Family Based Care Association North West Inc.,73-75 MOUNT Street BURNIE 7320 TAS Australia,NA,NA,NA,"Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7320,TAS,6.10364E+11,admin@familybasedcare.org.au,http://www.familybasedcare.org.au,145.9049703,-41.0537605,5
The Salvation Army Community Aged Care Service - Ulverstone,14 GROVE Street ULVERSTONE 7315 TAS Australia,NA,Salvation Army,NA,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7315,TAS,6.10364E+11,toni.anderson@aus.salvationarmy.org,NA,146.1692281,-41.1593296,6
EACH Home Care Packages North West Tasmania,18 ROOKE Street DEVONPORT 7310 TAS Australia,NA,NA,NA,"Assistive Technology, Dementia, Mental Health, Wellness and reablement",7310,TAS,6.10364E+11,donna.lindridge@each.com.au,http://www.each.com.au,146.3606996,-41.1809274,7
Care Forward - North West,11 Steele Street DEVONPORT 7310 TAS Australia,NA,NA,NA,"Assistive Technology, Dementia, In-home respite care, Mobility, Wellness and reablement",7310,TAS,6.113E+11,nwreferral@careforward.com.au,http://www.careforward.com.au,146.36162,-41.1817496,8
Prompt Care Tasmania - Northern,90 OLDAKER Street DEVONPORT 7310 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, In-home respite care, Mental Health, Mobility, Wellness and reablement",7310,TAS,6.118E+11,services@promptcare.com.au,http://www.promptcare.com.au,146.3507526,-41.1752238,9
Baptcare Orana Respite and Social Centre,31 MURRAY Street EAST DEVONPORT 7310 TAS Australia,NA,"Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church",NA,"Dementia, In-home respite care, Mental Health, Mobility, Wellness and reablement",7310,TAS,6.10364E+11,orana@baptcare.org.au,http://baptcare.org.au/,146.3712197,-41.180053,10
Uniting AgeWell North Western Tasmania Community Services,37 MORIARTY Road LATROBE 7307 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Arabic, Cantonese, Croatian, Greek, Italian, Mandarin, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7307,TAS,6.10364E+11,strathdevon.community@unitingagewell.org,http://www.unitingagewell.org,146.4222893,-41.2317911,11
Uniting AgeWell Northern Tasmania Community Services,8 HAMILTON Street LATROBE 7307 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church","Arabic, Cantonese, Croatian, Greek, Italian, Mandarin, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7307,TAS,6.10363E+11,fonslow-agnew@unitingagewell.org,http://www.unitingagewell.org,146.4119979,-41.2362386,12
Toosey Community Aged Care Packages,10 ARCHER Street LONGFORD 7301 TAS Australia,NA,NA,NA,NA,7301,TAS,6.10364E+11,lauraine.stott@toosey.org.au,http://toosey.org.au,147.1195411,-41.5930385,13
Regis Home Care Tasmania - North,1-9 FRESHWATER POINT Road LEGANA 7277 TAS Australia,"Bosnian, Chinese, Croatian, Dutch, Egyptian, Filipino, German, Greek, Hungarian, Indian, Italian, Lebanese, Macedonian, Maltese, Polish, Russian, Serbian, Sri Lankan, Ukrainian, Vietnamese","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church",English,"Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7277,TAS,6.11301E+11,referrals@regis.com.au,https://homecare.regis.com.au/why-regis-home-care/,147.0397975,-41.3635893,14
Southern Cross Home Care North 1,196-244 LOW HEAD Road LOW HEAD 7253 TAS Australia,NA,Catholic,NA,NA,7253,TAS,6.10364E+11,communitycaresn.admin@scctas.org.au,NA,146.8073179,-41.0781665,15
Senior Helpers Southern Tasmania,67 BRISBANE Street LAUNCESTON 7250 TAS Australia,NA,NA,"Cantonese, Hindi, Italian, Nepali, Punjabi, Russian, Urdu","Dementia, In-home respite care, Mental Health, People with terminal illness",7250,TAS,6.10363E+11,admintas@seniorhelpers.com.au,https://www.seniorhelpers.com.au,147.1405997,-41.4367164,16
Community Care TASMANIA North West Coast - Your award winning local service you can trust,8A BROADLAND Drive LAUNCESTON 7250 TAS Australia,"Australian, Australian Aboriginal, Bosnian, Burmese, Chinese, Dutch, Filipino, German, Greek, Italian, Polish, Sri Lankan, Vietnamese",NA,"Cantonese, Dutch, English, Greek, Italian, Nepali, Polish, Spanish, Vietnamese","Assistive Technology, Continence Advisory, Dementia, Hearing, In-home respite care, Mental Health, Mobility, People with terminal illness, Vision, Wellness and reablement",7250,TAS,6.10363E+11,enquiry@cct.org.au,http://www.cct.org.au,147.1541283,-41.4311639,17
Presbyterian Care Home Care Services - North,8 Blenheim Street NORWOOD 7250 TAS Australia,NA,NA,NA,Dementia,7250,TAS,6.10363E+11,info@prescaretas.org.au,http://www.prescaretas.org.au,147.1757165,-41.4555563,18
Freedom Home Care,22-26 CAMERON Street LAUNCESTON 7250 TAS Australia,NA,NA,NA,"Continence Advisory, Dementia, In-home respite care, Mental Health, Wellness and reablement",7250,TAS,6.113E+11,jkent@freedomtas.com.au,http://www.freedomtas.com.au,147.1405308,-41.4339322,19
Masonic Care Tasmania Community Service,185 PENQUITE Road LAUNCESTON 7250 TAS Australia,NA,NA,NA,NA,7250,TAS,6.10363E+11,jayne.williams@mctas.org.au,NA,147.1784066,-41.4544702,20
Calvary Community Care Tasmania,14 CANNING Street LAUNCESTON 7250 TAS Australia,NA,NA,NA,"Assistive Technology, Continence Advisory, Dementia, In-home respite care, Mobility, People with terminal illness, Wellness and reablement",7250,TAS,6.11301E+11,ccc@calvarycare.org.au,http://www.calvarycommunitycare.org.au,147.142999,-41.4412175,21
ARC Community Care,65 AMY Road NEWSTEAD 7250 TAS Australia,"Bhutanese, Filipino",NA,NA,"Assistive Technology, Continence Advisory, Mobility",7250,TAS,6.10363E+11,arcadmin@stgiles.org.au,http://www.arcss.com.au,147.158673,-41.4520169,22
