Year,State,Number,Lat,Lon
2011,ACT,3600,-35.4735,149.0124
2012,ACT,3800,-35.4735,149.0124
2013,ACT,4000,-35.4735,149.0124
2014,ACT,4100,-35.4735,149.0124
2015,ACT,4300,-35.4735,149.0124
2016,ACT,4400,-35.4735,149.0124
2017,ACT,4600,-35.4735,149.0124
2018,ACT,4800,-35.4735,149.0124
2019,ACT,5000,-35.4735,149.0124
2011,NSW,101800,-31.2532,146.9211
2012,NSW,105500,-31.2532,146.9211
2013,NSW,108700,-31.2532,146.9211
2014,NSW,111900,-31.2532,146.9211
2015,NSW,115200,-31.2532,146.9211
2016,NSW,118500,-31.2532,146.9211
2017,NSW,121900,-31.2532,146.9211
2018,NSW,125200,-31.2532,146.9211
2019,NSW,128600,-31.2532,146.9211
2011,NT,1000,-19.4914,132.551
2012,NT,1000,-19.4914,132.551
2013,NT,1100,-19.4914,132.551
2014,NT,1200,-19.4914,132.551
2015,NT,1200,-19.4914,132.551
2016,NT,1300,-19.4914,132.551
2017,NT,1300,-19.4914,132.551
2018,NT,1400,-19.4914,132.551
2019,NT,1500,-19.4914,132.551
2011,Qld,54700,-20.9176,142.7028
2012,Qld,58000,-20.9176,142.7028
2013,Qld,60300,-20.9176,142.7028
2014,Qld,62600,-20.9176,142.7028
2015,Qld,65100,-20.9176,142.7028
2016,Qld,67600,-20.9176,142.7028
2017,Qld,70300,-20.9176,142.7028
2018,Qld,72900,-20.9176,142.7028
2019,Qld,75600,-20.9176,142.7028
2011,SA,26500,-30.0002,136.2092
2012,SA,27500,-30.0002,136.2092
2013,SA,28300,-30.0002,136.2092
2014,SA,29000,-30.0002,136.2092
2015,SA,29700,-30.0002,136.2092
2016,SA,30500,-30.0002,136.2092
2017,SA,31200,-30.0002,136.2092
2018,SA,32000,-30.0002,136.2092
2019,SA,32700,-30.0002,136.2092
2011,Tas,7600,-41.4545,145.9707
2012,Tas,7900,-41.4545,145.9707
2013,Tas,8200,-41.4545,145.9707
2014,Tas,8400,-41.4545,145.9707
2015,Tas,8600,-41.4545,145.9707
2016,Tas,8900,-41.4545,145.9707
2017,Tas,9100,-41.4545,145.9707
2018,Tas,9400,-41.4545,145.9707
2019,Tas,9600,-41.4545,145.9707
2011,Vic,75900,-37.4714,144.7825
2012,Vic,79100,-37.4714,144.7825
2013,Vic,81600,-37.4714,144.7825
2014,Vic,84100,-37.4714,144.7825
2015,Vic,86700,-37.4714,144.7825
2016,Vic,89300,-37.4714,144.7825
2017,Vic,92000,-37.4714,144.7825
2018,Vic,94600,-37.4714,144.7825
2019,Vic,97400,-37.4714,144.7825
2011,WA,26900,-27.6728,121.6238
2012,WA,28400,-27.6728,121.6238
2013,WA,29600,-27.6728,121.6238
2014,WA,30700,-27.6728,121.6238
2015,WA,32000,-27.6728,121.6238
2016,WA,33300,-27.6728,121.6238
2017,WA,34600,-27.6728,121.6238
2018,WA,36000,-27.6728,121.6238
2019,WA,37300,-27.6728,121.6238
